code,trades,winrate,pnl,return_pct,profit_factor,max_dd,final,bh_return,excess,rank,score
300274,46,43.5,84255.0,84.3,4.35,-7966.0,184255.0,-21.444582814445823,105.74458281444582,8,83.08283312577832
601360,50,42.0,77270.0,77.3,3.64,-6914.0,177270.0,-29.1869918699187,106.4869918699187,9,78.63479674796748
603799,53,41.5,45450.0,45.5,3.36,-4609.0,145450.0,-65.02879365791638,110.52879365791638,36,72.58151746316656
688561,47,40.4,39791.0,39.8,2.97,-6014.0,139791.0,-75.51440329218107,115.31440329218108,57,71.49076131687244
300450,48,37.5,57242.0,57.2,2.83,-8469.0,157242.0,-49.94904458598726,107.14904458598728,22,70.78461783439492
300413,53,34.0,42824.0,42.8,2.64,-6314.0,142824.0,-73.00161666966049,115.80161666966048,48,70.1606466678642
600745,53,49.1,31023.0,31.0,2.85,-4415.0,131023.0,-83.71989295272078,114.71989295272078,96,69.82295718108831
300347,53,43.4,33442.0,33.4,2.79,-5361.0,133442.0,-70.26547551162643,103.66547551162644,86,65.04119020465058
2230,48,37.5,54841.0,54.8,3.39,-4826.0,154841.0,-30.931780366056586,85.73178036605658,26,64.25771214642265
688728,46,47.8,46056.0,46.1,3.91,-4230.0,146056.0,-34.26950354609929,80.36950354609928,35,63.74280141843971
300751,58,43.1,41486.0,41.5,2.53,-13384.0,141486.0,-57.55425642668375,99.05425642668376,52,63.61670257067351
2709,52,55.8,40596.0,40.6,2.76,-9455.0,140596.0,-50.10617671498476,90.70617671498476,56,62.402470685993904
300059,48,43.8,46789.0,46.8,3.29,-5544.0,146789.0,-36.23978201634878,83.03978201634877,34,61.76091280653951
688169,50,40.0,20633.0,20.6,1.93,-5990.0,120633.0,-90.75208913649026,111.35208913649026,160,61.34583565459611
600570,47,38.3,34386.0,34.4,2.33,-6781.0,134386.0,-61.49102122256485,95.89102122256485,81,59.55140848902594
300142,53,30.2,21548.0,21.5,1.93,-10667.0,121548.0,-84.80138169257341,106.3013816925734,155,58.52555267702936
601615,41,43.9,37493.0,37.5,3.01,-10488.0,137493.0,-45.09073987901348,82.59073987901348,69,58.4712959516054
600588,56,30.4,26164.0,26.2,1.88,-7126.0,126164.0,-76.35855764347384,102.55855764347385,121,57.763423057389545
2241,47,46.8,37946.0,37.9,2.96,-6907.0,137946.0,-42.54820218863992,80.44820218863993,65,57.75928087545597
300919,51,35.3,25459.0,25.5,1.79,-17608.0,125459.0,-73.44768656244067,98.94768656244068,128,56.264074624976274
300014,53,37.7,37110.0,37.1,2.35,-10929.0,137110.0,-46.35087719298245,83.45087719298246,72,55.14535087719299
601127,57,35.1,62870.0,62.9,3.03,-8174.0,162870.0,1.2774320340648515,61.62256796593515,17,54.37402718637406
2812,54,35.2,19641.0,19.6,1.9,-10775.0,119641.0,-74.40079365079364,94.00079365079364,173,53.59031746031746
603259,46,47.8,44380.0,44.4,3.2,-4199.0,144380.0,-18.769633507853413,63.16963350785341,41,53.32785340314137
600309,42,47.6,30757.0,30.8,2.87,-6827.0,130757.0,-42.34519543295274,73.14519543295275,97,53.093078173181105
301,49,40.8,27976.0,28.0,2.47,-6396.0,127976.0,-52.22687476208603,80.22687476208603,112,52.88574990483441
661,61,37.7,17639.0,17.6,1.6,-10320.0,117639.0,-77.49861324110027,95.09861324110028,181,52.529445296440116
300979,53,37.7,21856.0,21.9,1.87,-6625.0,121856.0,-66.83905013192613,88.73905013192612,154,52.06062005277045
600383,58,31.0,18494.0,18.5,1.76,-6335.0,118494.0,-74.56445993031359,93.0644599303136,177,51.94578397212545
600460,47,46.8,36346.0,36.3,2.92,-5410.0,136346.0,-30.819912152269403,67.11991215226939,74,51.92796486090776
300763,56,41.1,16640.0,16.6,1.69,-10776.0,116640.0,-73.75469035078662,90.35469035078664,191,51.176876140314654
2466,51,43.1,30093.0,30.1,2.36,-5094.0,130093.0,-45.42748162619779,75.52748162619778,101,51.160992650479116
300207,47,29.8,33207.0,33.2,2.33,-8807.0,133207.0,-44.411147737488754,77.61114773748875,88,51.14945909499551
601456,44,43.2,33987.0,34.0,2.97,-3999.0,133987.0,-30.239752513534413,64.23975251353441,84,50.180901005413766
601633,54,38.9,14399.0,14.4,1.56,-6218.0,114399.0,-75.87505886046146,90.27505886046148,210,49.9000235441846
2180,48,35.4,23532.0,23.5,2.11,-6717.0,123532.0,-54.616024397005816,78.11602439700582,144,48.98140975880233
600438,53,35.8,13729.0,13.7,1.62,-7400.0,113729.0,-74.26951591801134,87.96951591801134,217,48.79780636720454
601236,47,46.8,24763.0,24.8,2.5,-5509.0,124763.0,-44.16932907348242,68.96932907348243,136,48.47773162939298
625,60,35.0,19265.0,19.3,1.73,-9373.0,119265.0,-61.87467087941021,81.17467087941021,174,47.61486835176408
603260,50,42.0,22779.0,22.8,1.98,-6338.0,122779.0,-51.61906784159677,74.41906784159677,147,47.43762713663871
2460,55,29.1,17097.0,17.1,1.69,-14346.0,117097.0,-66.57820710153388,83.67820710153387,188,47.40628284061354
603369,46,39.1,27584.0,27.6,2.23,-5160.0,127584.0,-41.71893147502903,69.31893147502903,115,47.19257259001162
600703,50,44.0,19878.0,19.9,1.87,-5169.0,119878.0,-55.53658536585366,75.43658536585366,169,46.96963414634146
603501,53,41.5,14523.0,14.5,1.53,-11671.0,114523.0,-65.72634682390782,80.22634682390782,209,46.025538729563124
600036,40,52.5,29221.0,29.2,3.12,-6535.0,129221.0,-22.804443512890384,52.00444351289038,103,45.931777405156154
688777,46,47.8,40817.0,40.8,3.32,-4578.0,140817.0,-4.051565377532218,44.85156537753222,54,45.82062615101289
2415,46,52.2,20583.0,20.6,2.32,-5094.0,120583.0,-44.47166421688714,65.07166421688714,159,45.80866568675486
688111,54,38.9,29992.0,30.0,1.95,-8290.0,129992.0,-37.09821428571429,67.09821428571429,102,45.50428571428572
300661,49,42.9,16491.0,16.5,1.65,-9483.0,116491.0,-59.65317919075145,76.15317919075144,192,45.47627167630058
938,46,52.2,48260.0,48.3,3.11,-6317.0,148260.0,7.072135785007072,41.22786421499293,32,45.36614568599717
2601,38,28.9,24159.0,24.2,2.03,-5597.0,124159.0,-46.25281440977807,70.45281440977807,140,45.046125763911235
601377,44,40.9,25770.0,25.8,2.5,-5701.0,125770.0,-35.392670157068075,61.19267015706808,125,44.97706806282723
600104,52,46.2,19860.0,19.9,2.16,-3897.0,119860.0,-46.53622421998943,66.43622421998943,167,44.894489687995765
300316,48,41.7,33443.0,33.4,2.44,-9499.0,133443.0,-24.213649851632056,57.61364985163205,85,44.875459940652824
601728,47,42.6,30660.0,30.7,3.93,-4908.0,130660.0,-11.12929623567922,41.82929623567922,98,44.81671849427169
600918,48,39.6,22131.0,22.1,2.33,-5733.0,122131.0,-42.40506329113924,64.50506329113924,152,44.6670253164557
2236,52,36.5,36712.0,36.7,2.19,-13018.0,136712.0,-21.896792189679225,58.59679218967923,73,44.2837168758717
2920,48,31.2,39481.0,39.5,2.12,-11164.0,139481.0,-19.7773654916512,59.2773654916512,58,44.270946196660475
2049,51,41.2,16125.0,16.1,1.64,-7287.0,116125.0,-57.412230440670896,73.51223044067089,197,44.124892176268354
600346,46,45.7,19722.0,19.7,2.18,-4603.0,119722.0,-44.0251572327044,63.7251572327044,171,43.810062893081756
63,47,42.6,38915.0,38.9,2.47,-7775.0,138915.0,-10.723926380368088,49.62392638036809,61,43.004570552147236
601995,45,40.0,24805.0,24.8,2.35,-5103.0,124805.0,-33.54037267080745,58.340372670807454,137,42.871149068322985
600111,52,36.5,42992.0,43.0,2.94,-5137.0,142992.0,-0.4713114754098302,43.47131147540983,47,42.86852459016393
601696,50,40.0,33343.0,33.3,2.65,-4624.0,133343.0,-17.320261437908503,50.620261437908496,87,42.833104575163404
688065,52,38.5,17505.0,17.5,1.71,-7427.0,117505.0,-51.73968440654709,69.2396844065471,182,42.74087376261884
601336,44,47.7,63380.0,63.4,4.79,-3726.0,163380.0,55.4576603034753,7.942339696524698,16,42.18193587860988
300750,51,41.2,28262.0,28.3,1.87,-19517.0,128262.0,-31.15942028985508,59.45942028985508,108,41.978768115942025
786,48,39.6,18086.0,18.1,1.94,-5057.0,118086.0,-45.97014925373134,64.07014925373134,179,41.938059701492534
600031,44,50.0,21347.0,21.3,2.44,-2690.0,121347.0,-32.01465201465202,53.314652014652026,156,41.565860805860815
601868,48,39.6,37255.0,37.3,3.08,-4001.0,137255.0,-3.272727272727272,40.57272727272727,71,41.509090909090915
568,58,39.7,12061.0,12.1,1.54,-7078.0,112061.0,-57.32212947094919,69.42212947094919,228,41.08885178837968
688223,45,35.6,12056.0,12.1,1.66,-7958.0,112056.0,-56.39810426540285,68.49810426540284,227,40.84924170616114
600732,49,34.7,41294.0,41.3,2.57,-16611.0,141294.0,-2.5528811086798053,43.8528811086798,53,40.83615244347192
600585,53,32.1,12629.0,12.6,1.54,-5569.0,112629.0,-55.89294904786413,68.49294904786413,223,40.05717961914566
768,50,36.0,22371.0,22.4,2.06,-4210.0,122371.0,-34.34469815451987,56.74469815451987,150,40.04787926180795
601117,47,42.6,28062.0,28.1,2.63,-5846.0,128062.0,-17.396061269146614,45.496061269146615,111,39.91342450765864
688484,31,45.2,24771.0,24.8,2.83,-3344.0,124771.0,-19.022746419545065,43.82274641954507,134,39.744098567818035
601877,50,42.0,15964.0,16.0,1.76,-10074.0,115964.0,-44.671500769061744,60.671500769061744,199,39.5886003076247
601901,46,39.1,28685.0,28.7,2.73,-2224.0,128685.0,-15.081206496519703,43.7812064965197,106,39.44748259860788
2648,46,37.0,21084.0,21.1,1.66,-12360.0,121084.0,-38.92702771421307,60.02702771421307,158,39.400811085685234
2493,50,34.0,17819.0,17.8,1.76,-7247.0,117819.0,-42.491383554899066,60.29138355489907,180,38.99655342195963
688126,46,47.8,31398.0,31.4,2.63,-9523.0,131398.0,-8.723235527359229,40.12323552735923,93,38.944294210943696
600893,44,36.4,21260.0,21.3,1.92,-5104.0,121260.0,-33.31636980491942,54.616369804919415,157,38.38654792196777
601100,48,41.7,44617.0,44.6,2.8,-5979.0,144617.0,13.129998140226885,31.47000185977312,40,38.27800074390925
300124,49,36.7,30960.0,31.0,2.2,-6742.0,130960.0,-15.267175572519086,46.267175572519086,95,38.27687022900764
601318,43,41.9,31225.0,31.2,2.56,-5691.0,131225.0,-9.10942418070727,40.30942418070727,94,38.07376967228291
600009,51,41.2,16222.0,16.2,1.86,-5767.0,116222.0,-39.63655517513827,55.83655517513827,194,38.06462207005531
601800,54,27.8,34436.0,34.4,2.25,-10245.0,134436.0,-11.227544910179644,45.62754491017965,82,38.03601796407186
600958,43,34.9,24752.0,24.8,2.47,-4102.0,124752.0,-20.399666944213145,45.19966694421315,135,37.644866777685266
600000,43,44.2,25150.0,25.1,3.6,-1893.0,125150.0,-4.819277108433751,29.919277108433757,132,37.6077108433735
600085,50,38.0,19706.0,19.7,1.79,-9642.0,119706.0,-33.5986355884025,53.2986355884025,170,37.114454235360995
600600,50,42.0,16137.0,16.1,1.9,-5944.0,116137.0,-36.2093690248566,52.3093690248566,196,36.89374760994264
601878,44,36.4,24553.0,24.6,2.55,-4460.0,124553.0,-14.995640802092424,39.595640802092426,138,35.87325632083697
603296,26,50.0,25736.0,25.7,2.77,-6185.0,125736.0,-6.017191977077374,31.717191977077373,127,35.29187679083095
601108,42,42.9,26858.0,26.9,2.5,-6305.0,126858.0,-8.982035928143716,35.882035928143715,117,35.27281437125749
617,51,41.2,50129.0,50.1,2.98,-8090.0,150129.0,31.22605363984674,18.873946360153266,30,35.09957854406131
601319,43,53.5,43773.0,43.8,4.49,-5394.0,143773.0,41.87866927592954,1.921330724070458,43,35.08353228962819
